date,day,asset_id,platform,format,product_focus,role,content_angle,hook_or_title,visual_brief,destination,cta,expected_signal
5/27/2026,Wednesday,2026-05-27-R02,Instagram,Reel,Biodance Bio-Collagen Mask,core,PM mask,The sheet mask I would use on a reset night,Mask packaging then PM shelf,link_in_bio,Shop K-beauty mask,profile_click
5/28/2026,Thursday,2026-05-28-P01,Pinterest,Pin,Maybelline Sky High Mascara,core,Budget makeup,Drugstore mascara that makes sense under 15,Tube close-up with lashes visual,site_current_picks,Shop budget mascara,click
5/28/2026,Thursday,2026-05-28-P02,Pinterest,Pin,Maybelline Sky High Mascara,core,Before after,One coat vs two coats mascara test,Split before after lash graphic,site_current_picks,Save for makeup day,save
5/28/2026,Thursday,2026-05-28-P03,Pinterest,Pin,Maybelline Sky High + essence Lash Princess,core,Comparison,Two budget mascaras to compare,Side-by-side product flatlay,site_product_browser,See makeup under 20,click
5/28/2026,Thursday,2026-05-28-P04,Pinterest,Pin,NYX Fat Oil Lip Drip,core,Lip gloss,The viral lip drip look for glossy lips,Lip oil close-up with swatch or lip image,linktree_top_picks,Shop lip picks,click
5/28/2026,Thursday,2026-05-28-P05,Pinterest,Pin,NYX + Maybelline,core,Soft glam,Quick drugstore soft glam pair,Mascara and lip oil layout with simple face chart,site_product_browser,Open makeup picks,save_or_click
5/28/2026,Thursday,2026-05-28-R01,Instagram,Reel,Maybelline Sky High Mascara,core,Before after,One coat vs two coats drugstore mascara,Fast lash close-up before after,link_in_bio,Shop mascara in bio,non_follower_reach
5/28/2026,Thursday,2026-05-28-R02,Instagram,Reel,NYX Fat Oil Lip Drip,core,Lip combo,Glossy lip product I would post for summer,Lip close-up and product hold,link_in_bio,Current lip picks in bio,profile_click
5/29/2026,Friday,2026-05-29-P01,Pinterest,Pin,eos Vanilla Cashmere Lotion,core,Bodycare,Vanilla bodycare routine after shower,Lotion bottle with towel and bodycare shelf,site_current_picks,Shop vanilla bodycare,click
5/29/2026,Friday,2026-05-29-P02,Pinterest,Pin,eos Vanilla Cashmere Lotion,core,Scent stacking,Affordable vanilla layer for a soft scent routine,Product with fragrance mist and neutral background,site_product_browser,Save scent stack idea,save
5/29/2026,Friday,2026-05-29-P03,Pinterest,Pin,eos Vanilla Cashmere Lotion,core,Texture,Body lotion that looks expensive under 20,Texture smear and bottle graphic,site_current_picks,See bodycare picks,click
5/29/2026,Friday,2026-05-29-P04,Pinterest,Pin,Naturium Glow Getter Body Wash,test,Everything shower,Everything shower body wash step,Shower shelf inspired graphic,site_product_browser,Shop shower routine,save_or_click
5/29/2026,Friday,2026-05-29-P05,Pinterest,Pin,eos + Naturium + Sol de Janeiro,core,Bodycare roundup,Soft skin and vanilla scent stack,Three-product bodycare routine board,linktree_top_picks,Open bodycare links,click
5/29/2026,Friday,2026-05-29-R01,Instagram,Reel,eos Vanilla Cashmere Lotion,core,After shower,After shower vanilla bodycare routine,Product application or texture shot with text overlay,link_in_bio,Shop bodycare in bio,profile_click
5/29/2026,Friday,2026-05-29-R02,Instagram,Reel,Naturium Glow Getter Body Wash,test,Shower routine,Everything shower Amazon find,Quick shower shelf sequence,link_in_bio,See shower picks,non_follower_reach
5/30/2026,Saturday,2026-05-30-P01,Pinterest,Pin,Neutrogena Purescreen UV Tint,core,SPF under makeup,Tinted SPF before makeup for summer,SPF tube with makeup sponge and mirror,site_current_picks,Shop SPF tint,click
5/30/2026,Saturday,2026-05-30-P02,Pinterest,Pin,Round Lab Birch UVLOCK Sunscreen,test,K-beauty SPF,K-beauty sunscreen for makeup days,SPF bottle with blue summer background,site_product_browser,Save SPF idea,save
5/30/2026,Saturday,2026-05-30-P03,Pinterest,Pin,La Roche + Neutrogena + EltaMD,core,Comparison,Three tinted SPF options to compare,Side-by-side sunscreen comparison graphic,site_product_browser,See SPF picks,click
5/30/2026,Saturday,2026-05-30-P04,Pinterest,Pin,EltaMD UV Clear Tinted,test,Derm SPF,Derm-favorite tinted SPF worth researching,Minimal sunscreen shelf visual,site_product_browser,Shop SPF under makeup,click
5/30/2026,Saturday,2026-05-30-P05,Pinterest,Pin,SPF Routine Bundle,core,Routine,SPF under makeup starter routine,SPF plus moisturizer plus lip balm flatlay,linktree_top_picks,Open summer SPF picks,save_or_click
5/30/2026,Saturday,2026-05-30-R01,Instagram,Reel,Neutrogena Purescreen UV Tint,core,SPF texture,SPF tint before makeup check,Texture swipe and blend clip,link_in_bio,Shop SPF tint,profile_click
5/30/2026,Saturday,2026-05-30-R02,Instagram,Reel,Round Lab Birch UVLOCK Sunscreen,test,K-beauty SPF,K-beauty SPF I would test under makeup,Product hold plus routine overlay,link_in_bio,See SPF picks in bio,non_follower_reach
5/31/2026,Sunday,2026-05-31-P01,Pinterest,Pin,CeraVe Moisturizing Cream,test,Barrier reset,Sunday barrier reset cream,Jar or tube with simple routine board,site_product_browser,Shop barrier reset,click
5/31/2026,Sunday,2026-05-31-P02,Pinterest,Pin,Aquaphor Healing Ointment,core,Dry patches,Where Aquaphor fits in a dry skin routine,Product close-up with lip and dry patch labels,site_current_picks,Save dry skin routine,save
5/31/2026,Sunday,2026-05-31-P03,Pinterest,Pin,CeraVe + Aquaphor,core,Routine pair,Cream then ointment barrier routine,Two-step graphic with arrows,site_product_browser,See barrier picks,click
5/31/2026,Sunday,2026-05-31-P04,Pinterest,Pin,Clean Skin Club Towels,core,Routine hygiene,The boring skincare upgrade worth posting,Clean towel stack and sink setup,site_current_picks,Shop routine hygiene,click
5/31/2026,Sunday,2026-05-31-P05,Pinterest,Pin,Barrier Reset Bundle,core,Sunday reset,Barrier reset routine for the week,Flatlay cleanser towel moisturizer ointment SPF,linktree_top_picks,Open Sunday reset picks,save_or_click
5/31/2026,Sunday,2026-05-31-R01,Instagram,Reel,CeraVe + Aquaphor,core,Barrier reset,Simple barrier reset when skin feels dry,Two-product routine sequence,link_in_bio,Shop barrier reset,profile_click
5/31/2026,Sunday,2026-05-31-R02,Instagram,Reel,Clean Skin Club Towels,core,Routine hygiene,One boring skincare habit I would keep,Towel pull and sink routine clip,link_in_bio,See clean routine picks,non_follower_reach
6/1/2026,Monday,2026-06-01-P01,Pinterest,Pin,Medicube Zero Pore Pad 2.0,core,Toner pads,Amazon K-beauty toner pads routine,Toner pad jar with PM routine setup,site_current_picks,Shop toner pads,click
6/1/2026,Monday,2026-06-01-P02,Pinterest,Pin,Medicube Zero Pore Pad 2.0,core,Checklist,How I would use toner pads without overdoing it,3-step toner pad checklist graphic,site_product_browser,Save toner pad routine,save
6/1/2026,Monday,2026-06-01-P03,Pinterest,Pin,Medicube + COSRX,core,K-beauty pair,Toner pad then essence routine idea,Two-step K-beauty routine board,site_product_browser,Open K-beauty picks,click
6/1/2026,Monday,2026-06-01-P04,Pinterest,Pin,Anua PDRN Cream,test,PDRN trend,PDRN moisturizer without miracle claims,Cream jar with simple hydration routine,site_product_browser,Research this PDRN pick,save_or_click
6/1/2026,Monday,2026-06-01-P05,Pinterest,Pin,Medicube + Anua + Biodance,test,K-beauty roundup,3 K-beauty products I would test first,Three-product editorial board,linktree_top_picks,See K-beauty links,click
6/1/2026,Monday,2026-06-01-R01,Instagram,Reel,Medicube Zero Pore Pad 2.0,core,Toner pad routine,Toner pads in a simple PM routine,Pad texture and routine overlay,link_in_bio,Shop toner pads,profile_click
6/1/2026,Monday,2026-06-01-R02,Instagram,Reel,Anua PDRN Cream,test,PDRN trend,PDRN cream routine idea,Product close-up plus soft claim text,link_in_bio,See PDRN picks,non_follower_reach
6/2/2026,Tuesday,2026-06-02-P01,Pinterest,Pin,Hero Mighty Patch,core,Scale winner,Acne patch routine for beginners,New visual angle with bathroom counter flatlay,site_current_picks,Shop acne patch,click
6/2/2026,Tuesday,2026-06-02-P02,Pinterest,Pin,Hero Mighty Patch,core,Saveable guide,Do this before stacking acne actives,Text-led guide with patch product,site_product_browser,Save acne guide,save
6/2/2026,Tuesday,2026-06-02-P03,Pinterest,Pin,Hero + The Ordinary Niacinamide,core,Acne routine,Patch or niacinamide where each fits,Comparison card with clear routine labels,site_product_browser,See acne basics,click
6/2/2026,Tuesday,2026-06-02-P04,Pinterest,Pin,Mediheal Madecassoside Pads,test,Calm skin,Calming toner pads for stressed skin,Soft green product board and routine icons,site_product_browser,Research toner pads,save_or_click
6/2/2026,Tuesday,2026-06-02-P05,Pinterest,Pin,Clean Towels + Hero + Niacinamide,core,Acne bundle,Beginner acne shelf from Amazon,Three-product shelf with numbered steps,linktree_top_picks,Open acne shelf,click
6/2/2026,Tuesday,2026-06-02-R01,Instagram,Reel,Hero Mighty Patch,core,Scale winner,What I would use for one breakout night,Patch product hold and routine sequence,link_in_bio,Shop acne basics,profile_click
6/2/2026,Tuesday,2026-06-02-R02,Instagram,Reel,The Ordinary Niacinamide,core,Beginner serum,Niacinamide for beginners without a huge routine,Serum hold plus 3 do-not-stack notes,link_in_bio,See serum pick,non_follower_reach
6/3/2026,Wednesday,2026-06-03-P01,Pinterest,Pin,COSRX Snail Mucin,core,Scale winner,COSRX snail mucin routine order,Fresh routine order graphic,site_current_picks,Shop snail mucin,click
6/3/2026,Wednesday,2026-06-03-P02,Pinterest,Pin,COSRX + Biodance,core,Glass skin,Glass skin routine without 10 steps,Two-product K-beauty flatlay,site_product_browser,Save glass skin routine,save
6/3/2026,Wednesday,2026-06-03-P03,Pinterest,Pin,Biodance Bio-Collagen Mask,core,PM routine,Sheet mask night before a big day,Mask packaging with calendar visual,site_current_picks,Shop mask pick,click
6/3/2026,Wednesday,2026-06-03-P04,Pinterest,Pin,LANEIGE Bouncy Lip Treatment,core,Lip care,K-beauty lip treatment for a glossy bag essential,Lip treatment with bag flatlay,site_current_picks,See lip care picks,click
6/3/2026,Wednesday,2026-06-03-P05,Pinterest,Pin,K-beauty Hydration Shelf,core,Roundup,K-beauty hydration products to compare,COSRX Biodance Laneige shelf board,linktree_top_picks,Open K-beauty shelf,save_or_click
6/3/2026,Wednesday,2026-06-03-R01,Instagram,Reel,COSRX Snail Mucin,core,Scale winner,Where snail mucin goes in a simple routine,Product hold and step overlay,link_in_bio,Shop K-beauty routine,profile_click
6/3/2026,Wednesday,2026-06-03-R02,Instagram,Reel,LANEIGE Bouncy Lip Treatment,core,Lip care,Glossy lip treatment bag essential,Lip product close-up and bag shot,link_in_bio,See lip pick,non_follower_reach
6/4/2026,Thursday,2026-06-04-P01,Pinterest,Pin,NYX Fat Oil Lip Drip,core,Scale signal,Viral lip drip glossy routine,Fresh lip oil visual with swatch,site_current_picks,Shop lip oil,click
6/4/2026,Thursday,2026-06-04-P02,Pinterest,Pin,NYX Fat Oil + LANEIGE Lip Glowy,core,Comparison,Lip oil vs lip balm for glossy lips,Side-by-side lip product comparison,site_product_browser,See lip picks,click
6/4/2026,Thursday,2026-06-04-P03,Pinterest,Pin,CLIO Kill Cover Cushion,test,K-makeup,K-beauty cushion base for soft glam,Cushion compact with blush and lip pairing,site_product_browser,Research K-makeup,save_or_click
6/4/2026,Thursday,2026-06-04-P04,Pinterest,Pin,Maybelline Sky High Mascara,core,Makeup under 20,The mascara I would compare with everything,Tube close-up and lash checklist,site_current_picks,Shop mascara,click
6/4/2026,Thursday,2026-06-04-P05,Pinterest,Pin,Soft Glam Drugstore Shelf,core,Roundup,Amazon soft glam under 20 shelf,Mascara lip oil cushion-style flatlay,linktree_top_picks,Open soft glam picks,save_or_click
6/4/2026,Thursday,2026-06-04-R01,Instagram,Reel,NYX Fat Oil Lip Drip,core,Scale signal,The lip gloss look people actually click,Lip close-up and product hold,link_in_bio,Shop lip pick,profile_click
6/4/2026,Thursday,2026-06-04-R02,Instagram,Reel,CLIO Kill Cover Cushion,test,K-makeup,K-beauty cushion base idea,Compact open shot and skin-like finish text,link_in_bio,See K-makeup pick,non_follower_reach
6/5/2026,Friday,2026-06-05-P01,Pinterest,Pin,eos Vanilla Cashmere Lotion,core,Scale winner,Vanilla bodycare routine people save,New bodycare shelf visual,site_current_picks,Shop vanilla lotion,click
6/5/2026,Friday,2026-06-05-P02,Pinterest,Pin,eos + Sol de Janeiro,core,Scent stacking,Vanilla and pistachio scent stack,Two-product fragrance and lotion board,site_product_browser,Save scent stack,save
6/5/2026,Friday,2026-06-05-P03,Pinterest,Pin,Naturium Glow Getter Body Wash,test,Everything shower,Body wash step for an everything shower,Shower shelf graphic with steps,site_product_browser,Shop shower pick,click
6/5/2026,Friday,2026-06-05-P04,Pinterest,Pin,eos + Naturium,core,Bodycare pair,After shower bodycare pair to try,Body wash and lotion sequence graphic,site_product_browser,See bodycare routine,click
6/5/2026,Friday,2026-06-05-P05,Pinterest,Pin,Bodycare Roundup,core,Roundup,Amazon bodycare finds for soft skin,Four-product collage with clear titles,linktree_top_picks,Open bodycare shelf,save_or_click
6/5/2026,Friday,2026-06-05-R01,Instagram,Reel,eos Vanilla Cashmere Lotion,core,Scale winner,Vanilla lotion after shower routine,Application texture or product squeeze shot,link_in_bio,Shop bodycare pick,profile_click
6/5/2026,Friday,2026-06-05-R02,Instagram,Reel,Sol de Janeiro Cheirosa 62,core,Scent stacking,Scent stacking with vanilla bodycare,Fragrance mist and lotion visual,link_in_bio,See scent picks,non_follower_reach
6/6/2026,Saturday,2026-06-06-P01,Pinterest,Pin,Round Lab Birch UVLOCK Sunscreen,test,K-beauty SPF,K-beauty SPF under makeup routine,SPF product with makeup base setup,site_product_browser,Shop K-beauty SPF,click
6/6/2026,Saturday,2026-06-06-P02,Pinterest,Pin,Neutrogena Purescreen UV Tint,core,Tinted SPF,Budget tinted SPF for summer skin,Tube with shade swatch style visual,site_current_picks,Shop SPF tint,click
6/6/2026,Saturday,2026-06-06-P03,Pinterest,Pin,Neutrogena Purescreen UV Tint,core,Comparison,Tinted SPF splurge vs budget,Split comparison graphic,site_product_browser,Compare SPF picks,save_or_click
6/6/2026,Saturday,2026-06-06-P04,Pinterest,Pin,La Roche Anthelios SPF 40,core,Makeup layering,SPF that layers well before makeup,Product with brush and mirror,site_current_picks,Shop La Roche SPF,click
6/6/2026,Saturday,2026-06-06-P05,Pinterest,Pin,Round Lab Birch UVLOCK Sunscreen,core,Roundup,SPF under makeup products to research,Four sunscreen product grid,linktree_top_picks,Open SPF shelf,save_or_click
6/6/2026,Saturday,2026-06-06-R01,Instagram,Reel,Neutrogena Purescreen UV Tint,core,Scale winner,Tinted SPF before makeup routine,Blend clip or product hold with shade note,link_in_bio,Shop SPF in bio,profile_click
6/6/2026,Saturday,2026-06-06-R02,Instagram,Reel,Round Lab Birch UVLOCK Sunscreen,test,K-beauty SPF,K-beauty sunscreen I would compare,Product hold plus comparison overlay,link_in_bio,See SPF shelf,non_follower_reach
6/7/2026,Sunday,2026-06-07-P01,Pinterest,Pin,CeraVe Moisturizing Cream,core,Sunday reset,Sunday barrier cream for face and body,Cream product with simple reset board,site_product_browser,Shop barrier cream,click
6/7/2026,Sunday,2026-06-07-P02,Pinterest,Pin,Aquaphor Healing Ointment,core,Dry skin,Repair ointment spots I would use it on,Product close-up with lips hands patches labels,site_current_picks,Save repair routine,save
6/7/2026,Sunday,2026-06-07-P03,Pinterest,Pin,CeraVe + Aquaphor + Clean Towels,core,Bundle,Sunday skin reset starter kit,Three-product flatlay with numbered labels,linktree_top_picks,Open reset kit,click
6/7/2026,Sunday,2026-06-07-P04,Pinterest,Pin,Beauty of Joseon Eye Serum,test,PM routine,K-beauty eye serum for a slow night routine,Eye serum with PM shelf setup,site_product_browser,Research PM eye serum,save_or_click
6/7/2026,Sunday,2026-06-07-P05,Pinterest,Pin,Mixsoon PDRN Gel Cleanser,test,Barrier cleanse,Gel cleanser for a gentle reset routine,Cleanser product with sink and towel,site_product_browser,See gentle cleanser,click
6/7/2026,Sunday,2026-06-07-R01,Instagram,Reel,CeraVe + Aquaphor,core,Sunday reset,My simplest Sunday barrier reset,Two-step product sequence,link_in_bio,Shop reset routine,profile_click
6/7/2026,Sunday,2026-06-07-R02,Instagram,Reel,Beauty of Joseon Eye Serum,test,PM routine,Where I would add an eye serum at night,Product hold and routine order overlay,link_in_bio,See PM routine pick,non_follower_reach
6/8/2026,Monday,2026-06-08-P01,Pinterest,Pin,Top 5 Amazon Beauty Finds,core,Roundup,Top Amazon beauty finds after two weeks,Collage of top click and save products,site_current_picks,Shop current winners,click
6/8/2026,Monday,2026-06-08-P02,Pinterest,Pin,Hero Mighty Patch,core,Winner retest,The acne product I would keep in the cart,Fresh patch product visual with cart CTA,site_current_picks,Shop acne winner,click
6/8/2026,Monday,2026-06-08-P03,Pinterest,Pin,COSRX Snail Mucin,core,Winner retest,The K-beauty hydration product I would compare first,Fresh COSRX routine visual,site_current_picks,Shop K-beauty winner,click
6/8/2026,Monday,2026-06-08-P04,Pinterest,Pin,eos Vanilla Cashmere Lotion,core,Winner retest,The bodycare product I would repeat,Fresh bodycare shelf visual,site_current_picks,Shop bodycare winner,click
6/8/2026,Monday,2026-06-08-P05,Pinterest,Pin,Maybelline + NYX + SPF,core,Roundup,Three beauty products for an easy summer routine,Makeup and SPF mini routine collage,linktree_top_picks,Open easy routine,save_or_click
6/8/2026,Monday,2026-06-08-R01,Instagram,Reel,Top 5 Amazon Beauty Finds,core,Roundup,What I would buy first from this beauty shelf,Fast shelf pan with numbered overlays,link_in_bio,Current winners in bio,profile_click
6/8/2026,Monday,2026-06-08-R02,Instagram,Reel,Hero + COSRX + eos,core,Roundup,3 products I would keep testing for Amazon sales,Three product holds with quick reason each,link_in_bio,Shop the winners,profile_click
